"avg review score","review count"
1.0000,1
3.0000,2
3.3333,3
3.7500,4
4.0000,5
3.8333,6
4.0000,7
4.1250,8
3.7778,9
3.9000,10
3.6364,11
3.4167,12
3.5385,13
3.3571,14
3.2000,15
3.3125,16
3.4118,17
3.5000,18
3.5263,19
3.6000,20
3.6667,21
3.5455,22
3.6087,23
3.6667,24
3.7200,25
3.7692,26
3.8148,27
3.8214,28
3.8276,29
3.8667,30
3.9032,31
3.9375,32
3.9697,33
4.0000,34
4.0000,35
4.0278,36
4.0270,37
4.0526,38
4.0513,39
4.0500,40
4.0732,41
4.0476,42
3.9767,43
3.9773,44
4.0000,45
4.0217,46
4.0426,47
4.0417,48
3.9796,49
4.0000,50
4.0196,51
4.0000,52
4.0189,53
4.0370,54
4.0545,55
4.0714,56
4.0175,57
4.0172,58
4.0339,59
3.9833,60
4.0000,61
3.9516,62
3.9524,63
3.9688,64
3.9231,65
3.9394,66
3.9552,67
3.9412,68
3.9275,69
3.9429,70
3.9577,71
3.9167,72
3.9315,73
3.9459,74
3.9467,75
3.9474,76
3.9091,77
3.9103,78
3.8987,79
3.8625,80
3.8765,81
3.8902,82
3.8916,83
3.9048,84
3.8824,85
3.8953,86
3.8851,87
3.8864,88
3.8989,89
3.9000,90
3.8681,91
3.8804,92
3.8495,93
3.8617,94
3.8632,95
3.8750,96
3.8660,97
3.8571,98
3.8687,99
3.8700,100
3.8614,101
3.8725,102
3.8447,103
3.8558,104
3.8667,105
3.8774,106
3.8785,107
3.8889,108
3.8991,109
3.9091,110
3.8829,111
3.8839,112
3.8938,113
3.9035,114
3.9130,115
3.9224,116
3.9145,117
3.9237,118
3.9328,119
3.9083,120
3.8843,121
3.8770,122
3.8862,123
3.8952,124
3.8960,125
3.9048,126
3.9134,127
3.9219,128
3.9302,129
3.9077,130
3.9160,131
3.9242,132
3.9323,133
3.9254,134
3.9111,135
3.8897,136
3.8978,137
3.9058,138
3.8993,139
3.9071,140
3.9007,141
3.9085,142
3.9161,143
3.9236,144
3.9034,145
3.9110,146
3.9184,147
3.9257,148
3.9329,149
3.9400,150
3.9404,151
3.9408,152
3.9412,153
3.9481,154
3.9484,155
3.9551,156
3.9618,157
3.9684,158
3.9497,159
3.9438,160
3.9255,161
3.9259,162
3.9325,163
3.9390,164
3.9455,165
3.9458,166
3.9521,167
3.9464,168
3.9527,169
3.9588,170
3.9649,171
3.9709,172
3.9769,173
3.9828,174
3.9829,175
3.9830,176
3.9887,177
3.9944,178
4.0000,179
4.0056,180
4.0110,181
4.0165,182
4.0219,183
4.0272,184
4.0324,185
4.0376,186
4.0321,187
4.0319,188
4.0370,189
4.0421,190
4.0262,191
4.0104,192
3.9948,193
3.9948,194
4.0000,195
4.0051,196
4.0102,197
4.0152,198
4.0151,199
4.0150,200
4.0149,201
4.0000,202
4.0000,203
4.0000,204
4.0000,205
4.0049,206
